Date,cases,mobilty,dose1,dose2,deaths
2020-02-11,1,109.07,0,0,0
2020-02-12,1,111.2,0,0,0
2020-02-13,1,110.18,0,0,0
2020-02-14,1,123.91,0,0,0
2020-02-15,1,131.79,0,0,0
2020-02-16,1,116.64,0,0,0
2020-02-17,1,123.55,0,0,0
2020-02-18,1,122.11,0,0,0
2020-02-19,1,125.12,0,0,0
2020-02-20,1,124.27,0,0,0
2020-02-21,1,133.95,0,0,0
2020-02-22,1,141.61,0,0,0
2020-02-23,1,111.26,0,0,0
2020-02-24,2,107.64,0,0,0
2020-02-25,5,109.44,0,0,0
2020-02-26,7,110.17,0,0,0
2020-02-27,9,111.27,0,0,0
2020-02-28,12,122.41,0,0,0
2020-02-29,13,129.48,0,0,0
2020-03-01,17,109.14,0,0,0
2020-03-02,29,102.74,0,0,0
2020-03-03,35,105.44,0,0,0
2020-03-04,53,106.93,0,0,0
2020-03-05,67,106.97,0,0,0
2020-03-06,91,118.77,0,0,1
2020-03-07,106,127.78,0,0,1
2020-03-08,128,100.86,0,0,1
2020-03-09,181,98.05,0,0,2
2020-03-10,273,99.47,0,0,2
2020-03-11,456,94.33,0,0,7
2020-03-12,620,86.28,0,0,13
2020-03-13,755,89.95,0,0,23
2020-03-14,905,94.84,0,0,36
2020-03-15,1070,67.46,0,0,45
2020-03-16,1303,57.95,0,0,60
2020-03-17,1614,46.33,0,0,83
2020-03-18,1969,40.32,0,0,111
2020-03-19,2301,38.7,0,0,136
2020-03-20,2727,34.64,0,0,180
2020-03-21,3077,28.01,0,0,229
2020-03-22,3514,25.9,0,0,283
2020-03-23,4201,24.44,0,0,346
2020-03-24,4834,17.15,0,0,432
2020-03-25,5594,15.43,0,0,544
2020-03-26,6360,14.49,0,0,674
2020-03-27,7177,14.05,0,0,804
2020-03-28,7753,13.6,0,0,927
2020-03-29,8351,13.3,0,0,1072
2020-03-30,9218,14.16,0,0,1223
2020-03-31,10153,13.92,0,0,1406
2020-04-01,11132,13.66,0,0,1608
2020-04-02,12202,13.65,0,0,1799
2020-04-03,13183,13.36,0,0,1998
2020-04-04,13950,12.51,0,0,2229
2020-04-05,14583,12.83,0,0,2424
2020-04-06,15440,13.65,0,0,2622
2020-04-07,16390,13.36,0,0,2842
2020-04-08,17264,13.18,0,0,3081
2020-04-09,18064,13.25,0,0,3288
2020-04-10,18683,12.7,0,0,3459
2020-04-11,19202,12.1,0,0,3637
2020-04-12,19703,11.21,0,0,3796
2020-04-13,20299,12.72,0,0,3962
2020-04-14,20894,13.72,0,0,4105
2020-04-15,21553,13.91,0,0,4248
2020-04-16,22127,13.62,0,0,4388
2020-04-17,22707,13.17,0,0,4489
2020-04-18,23107,12.6,0,0,4590
2020-04-19,23502,13.58,0,0,4694
2020-04-20,23933,14.78,0,0,4790
2020-04-21,24399,14.7,0,0,4886
2020-04-22,24798,14.73,0,0,4995
2020-04-23,25318,14.85,0,0,5072
2020-04-24,25695,14.57,0,0,5143
2020-04-25,26028,14.42,0,0,5201
2020-04-26,26339,15.21,0,0,5254
2020-04-27,26757,15.41,0,0,5306
2020-04-28,27069,14.57,0,0,5350
2020-04-29,27497,15.04,0,0,5395
2020-04-30,27921,14.84,0,0,5435
2020-05-01,28275,15.62,0,0,5476
2020-05-02,28522,15.94,0,0,5517
2020-05-03,28689,16.21,0,0,5553
2020-05-04,28937,17.38,0,0,5583
2020-05-05,29153,17.57,0,0,5608
2020-05-06,29419,17.49,0,0,5645
2020-05-07,29692,17.67,0,0,5682
2020-05-08,29898,17.78,0,0,5713
2020-05-09,30026,18.45,0,0,5736
2020-05-10,30152,17.92,0,0,5762
2020-05-11,30314,,0,0,5780
2020-05-12,30509,,0,0,5798
2020-05-13,30713,19.95,0,0,5815
2020-05-14,30871,19.73,0,0,5835
2020-05-15,31003,20.81,0,0,5854
2020-05-16,31077,20.38,0,0,5868
2020-05-17,31155,21.57,0,0,5884
2020-05-18,31268,23.72,0,0,5895
2020-05-19,31397,23.93,0,0,5909
2020-05-20,31538,25.82,0,0,5928
2020-05-21,31695,24.67,0,0,5940
2020-05-22,31777,25.06,0,0,5950
2020-05-23,31842,24.28,0,0,5956
2020-05-24,31892,24.9,0,0,5963
2020-05-25,31949,29.48,0,0,5972
2020-05-26,32015,29.31,0,0,5986
2020-05-27,32100,28.33,0,0,5993
2020-05-28,32175,29.02,0,0,6001
2020-05-29,32231,30.22,0,0,6008
2020-05-30,32270,31.42,0,0,6020
2020-05-31,32308,31.19,0,0,6026
2020-06-01,32357,32.18,0,0,6036
2020-06-02,32406,32.59,0,0,6044
2020-06-03,32485,31.34,0,0,6050
2020-06-04,32542,29.03,0,0,6058
2020-06-05,32587,30.35,0,0,6062
2020-06-06,32634,31.14,0,0,6062
2020-06-07,32679,30.97,0,0,6067
2020-06-08,32736,31.01,0,0,6072
2020-06-09,32807,31.85,0,0,6077
2020-06-10,32859,30.17,0,0,6085
2020-06-11,32906,30.24,0,0,6090
2020-06-12,32959,33.37,0,0,6093
2020-06-13,32998,36.8,0,0,6096
2020-06-14,33029,35,0,0,6099
2020-06-15,33070,36.31,0,0,6100
2020-06-16,33117,35.46,0,0,6102
2020-06-17,33159,34.33,0,0,6103
2020-06-18,33205,35.35,0,0,6105
2020-06-19,33242,38.17,0,0,6110
2020-06-20,33271,41.19,0,0,6113
2020-06-21,33298,35.95,0,0,6117
2020-06-22,33349,42.1,0,0,6119
2020-06-23,33398,44.45,0,0,6120
2020-06-24,33444,46.58,0,0,6124
2020-06-25,33501,48.25,0,0,6127
2020-06-26,33549,47.16,0,0,6129
2020-06-27,33581,44.12,0,0,6130
2020-06-28,33603,41.37,0,0,6132
2020-06-29,33661,43.61,0,0,6134
2020-06-30,33713,42.79,0,0,6135
2020-07-01,33755,43.47,0,0,6138
2020-07-02,33795,43.29,0,0,6140
2020-07-03,33833,47.43,0,0,6142
2020-07-04,33865,50.91,0,0,6143
2020-07-05,33916,48.68,0,0,6146
2020-07-06,33970,51.02,0,0,6148
2020-07-07,34030,50.86,0,0,6149
2020-07-08,34087,49.03,0,0,6152
2020-07-09,34141,50.37,0,0,6156
2020-07-10,34182,56.37,0,0,6156
2020-07-11,34202,58.84,0,0,6157
2020-07-12,34240,53.15,0,0,6158
2020-07-13,34325,54.79,0,0,6159
2020-07-14,34387,55.14,0,0,6159
2020-07-15,34463,56.33,0,0,6161
2020-07-16,34533,57.31,0,0,6161
2020-07-17,34581,66.2,0,0,6161
2020-07-18,34628,66.06,0,0,6163
2020-07-19,34669,54.74,0,0,6163
2020-07-20,34766,60.56,0,0,6163
2020-07-21,34847,60.34,0,0,6164
2020-07-22,34927,61.47,0,0,6164
2020-07-23,34997,61.78,0,0,6166
2020-07-24,35080,66.13,0,0,6166
2020-07-25,35136,64,0,0,6167
2020-07-26,35201,59.57,0,0,6167
2020-07-27,35301,61.11,0,0,6168
2020-07-28,35401,63.55,0,0,6168
2020-07-29,35500,65.72,0,0,6168
2020-07-30,35602,67.3,0,0,6169
2020-07-31,35675,71.84,0,0,6169
2020-08-01,35733,70.88,0,0,6169
