stp_name,boroughs,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-17,1st dose,80+,27886,57517,0.4848305718309369
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-17,1st dose,80+,28226,51226,0.5510092531136532
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-17,1st dose,80+,35171,77033,0.4565705606688043
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-17,1st dose,80+,27708,60667,0.45672276525953154
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-17,1st dose,80+,31295,55290,0.566015554349792
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-17,1st dose,Under 80,40972,1522657,0.026908226869216113
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-17,1st dose,Under 80,40375,1159281,0.034827621603390375
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-17,1st dose,Under 80,45724,1597492,0.028622365558012185
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-17,1st dose,Under 80,45989,1397804,0.032900893115200704
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-17,1st dose,Under 80,53007,1139441,0.04652017963194233
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-17,2nd dose,80+,5821,57517,0.10120486117147974
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-17,2nd dose,80+,8850,51226,0.17276383086713779
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-17,2nd dose,80+,8084,77033,0.10494203782794387
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-17,2nd dose,80+,5975,60667,0.09848846984357229
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-17,2nd dose,80+,7561,55290,0.1367516729969253
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-17,2nd dose,Under 80,2438,1522657,0.0016011485186749215
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-17,2nd dose,Under 80,3026,1159281,0.0026102385875383105
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-17,2nd dose,Under 80,2255,1597492,0.0014115876636627913
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-17,2nd dose,Under 80,2811,1397804,0.002011011558129752
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-17,2nd dose,Under 80,3720,1139441,0.0032647587720645473
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-24,1st dose,80+,36217,57517,0.6296747048698645
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-24,1st dose,80+,34093,51226,0.6655409362433139
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-24,1st dose,80+,50811,77033,0.6596004309841237
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-24,1st dose,80+,36651,60667,0.6041340432195428
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-24,1st dose,80+,39498,55290,0.7143787303309821
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-24,1st dose,Under 80,80123,1522657,0.05262051794987315
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-24,1st dose,Under 80,73731,1159281,0.06360062832048485
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-24,1st dose,Under 80,95574,1597492,0.05982752965273066
